Geneid	Length	gene_name
ENSG00000132855.5	3371	ANGPTL3
ENSG00000278967.1	1819	RP5-849H19.3
ENSG00000228734.2	859	RP11-335E6.3
ENSG00000177452.7	584	RP4-597J3.1
ENSG00000228056.3	490	CFL1P3
ENSG00000184588.18	8930	PDE4B
ENSG00000232284.7	3465	GNG12-AS1
ENSG00000234383.1	1330	CTBP2P8
ENSG00000223883.2	6152	LINC01707
ENSG00000287283.1	2154	RP5-944F13.1
ENSG00000235079.1	967	ZRANB2-AS1
ENSG00000229956.11	14877	ZRANB2-AS2
ENSG00000225087.2	2896	RP4-660H19.1
ENSG00000280317.1	301	RP11-25L19.1
ENSG00000137968.16	6299	SLC44A5
ENSG00000230863.3	2159	RP4-595K12.2
ENSG00000230817.6	2155	LINC01362
ENSG00000213540.3	493	TXN2P1
ENSG00000284882.1	1183	RP11-118B23.6
ENSG00000285374.1	1060	RP11-118B23.7
ENSG00000153898.13	3442	MCOLN2
ENSG00000267734.1	746	RP4-604K5.3
ENSG00000267272.5	6717	LINC01140
ENSG00000284240.1	4926	LINC02801
ENSG00000286802.1	3491	RP5-838N20.7
ENSG00000154451.14	8143	GBP5
ENSG00000232882.1	621	PHKA1P1
ENSG00000137948.19	4635	BRDT
ENSG00000225505.1	797	RP11-330C7.3
ENSG00000224093.5	1954	BCAR3-AS1
ENSG00000232752.1	643	MTCO3P21
ENSG00000143036.17	2869	SLC44A3
ENSG00000232878.3	1479	DPYD-AS1
ENSG00000228057.1	1258	SEC63P1
ENSG00000230718.1	358	RP11-272L13.2
ENSG00000235777.1	974	DPYD-AS2
ENSG00000270911.1	1251	RP11-272L13.4
ENSG00000285922.1	1784	RP4-672J20.3
ENSG00000099260.11	8074	PALMD
ENSG00000230946.3	979	HNRNPA1P68
ENSG00000237480.3	8919	RP5-947P14.1
ENSG00000280186.1	2331	RP11-483I13.6
ENSG00000225113.1	596	RP5-1160K1.3
ENSG00000232811.1	2359	RP11-96K19.2
ENSG00000235299.2	319	MRPL53P1
ENSG00000225075.1	449	RP11-426L16.3
ENSG00000287807.1	1389	RP11-31F15.4
ENSG00000232450.1	748	RP4-730K3.3
ENSG00000134198.10	3413	TSPAN2
ENSG00000177173.5	1157	NAP1L4P1
ENSG00000273213.4	3970	H3-2
ENSG00000234367.1	402	PFN1P3
ENSG00000276509.1	2002	CH17-353B19.1
ENSG00000180867.11	3328	PDIA3P1
ENSG00000237188.5	4139	RP11-337C18.10
ENSG00000225080.1	402	PFN1P4
ENSG00000198658.4	933	ABHD17AP1
ENSG00000232265.8	6391	LINC02805
ENSG00000275557.1	447	RP11-353N4.6
ENSG00000285554.1	1155	CH17-67K23.2
ENSG00000276110.1	714	RP4-790G17.7
ENSG00000118292.9	1270	C1orf54
ENSG00000203804.5	1914	ADAMTSL4-AS1
ENSG00000274963.1	299	RN7SL600P
ENSG00000143412.10	1594	ANXA9
ENSG00000232671.6	989	ZNF687-AS1
ENSG00000143375.15	6616	CGN
ENSG00000223861.1	495	RP11-74C1.2
ENSG00000286581.1	661	RP11-139D23.8
ENSG00000285818.1	1347	RP11-353M1.5
ENSG00000160678.12	3030	S100A1
ENSG00000143554.14	5470	SLC27A3
ENSG00000223599.1	1309	RP11-216N14.7
ENSG00000273026.1	415	RP11-422P24.10
ENSG00000143603.19	13599	KCNN3
ENSG00000268154.2	283	Metazoa_SRP
ENSG00000235919.4	1209	ASH1L-AS1
ENSG00000246203.2	2505	RP11-29H23.5
ENSG00000234937.1	941	RP11-101O6.2
ENSG00000163467.12	1115	TSACC
ENSG00000237390.1	5586	RP11-139I14.2
ENSG00000187862.13	3782	TTC24
ENSG00000272068.1	3222	BCAN-AS1
ENSG00000223356.1	433	RP11-66D17.5
ENSG00000287624.1	689	RP11-66D17.15
ENSG00000226520.1	587	KIRREL1-IT1
ENSG00000231237.1	971	OR6K1P
ENSG00000203757.2	1875	OR6K3
ENSG00000196184.10	3557	OR10J1
ENSG00000287040.1	984	RP11-190A12.11
ENSG00000018625.15	6298	ATP1A2
ENSG00000143318.13	2157	CASQ1
ENSG00000258465.8	3202	RP11-574F21.3
ENSG00000143217.9	3458	NECTIN4
ENSG00000288093.1	1871	RP11-122G18.13
ENSG00000143226.15	5422	FCGR2A
ENSG00000072694.21	6651	FCGR2B
ENSG00000229808.1	1364	RP11-456P18.2
ENSG00000203307.2	594	FAM78B-AS1
ENSG00000241666.2	2523	RP3-455J7.4
ENSG00000143178.13	3810	TBX19
ENSG00000228697.4	4240	RP5-968D22.3
ENSG00000171806.12	1575	METTL18
ENSG00000231407.6	5647	GORAB-AS1
ENSG00000007933.13	3439	FMO3
ENSG00000197959.14	11329	DNM3
ENSG00000203737.5	1582	GPR52
ENSG00000270575.1	311	RP11-21M7.2
ENSG00000264809.2	275	Metazoa_SRP
ENSG00000240021.10	4007	TEX35
ENSG00000213057.5	2775	C1orf220
ENSG00000273062.1	1980	RALGPS2-AS1
ENSG00000232750.2	344	RP11-177A2.5
ENSG00000261250.1	3294	RP11-545A16.1
ENSG00000228918.4	6663	LINC01344
ENSG00000203730.3	2551	TEDDM1
ENSG00000121446.20	9063	RGSL1
ENSG00000285847.2	7564	RP4-768P8.2
ENSG00000279838.1	1989	RP4-635A23.6
ENSG00000261024.7	1205	GS1-279B7.1
ENSG00000224691.1	353	GS1-174L6.4
ENSG00000116690.13	5049	PRG4
ENSG00000236069.2	1401	RP5-1011O1.3
ENSG00000162630.6	3548	B3GALT2
ENSG00000276735.1	314	Metazoa_SRP
ENSG00000287364.1	7089	RP11-379L12.1
ENSG00000230623.6	4073	RP11-469A15.2
ENSG00000159173.19	7524	TNNI1
ENSG00000236390.1	579	RP11-25B7.1
ENSG00000231871.5	1274	IPO9-AS1
ENSG00000235121.1	1809	RP11-90L20.2
ENSG00000163435.16	7186	ELF3
ENSG00000143851.15	5906	PTPN7
ENSG00000232626.3	1562	RP11-175B9.2
ENSG00000228288.7	890	PCAT6
ENSG00000234996.4	2321	ACTG1P25
ENSG00000133048.13	3363	CHI3L1
ENSG00000122188.13	3336	LAX1
ENSG00000170382.12	5686	LRRN2
ENSG00000117266.16	6830	CDK18
ENSG00000174514.13	5790	MFSD4A
ENSG00000162888.4	2096	C1orf147
ENSG00000279946.1	3135	CH17-76K2.6
ENSG00000203710.12	12583	CR1
ENSG00000203709.12	16745	MIR29B2CHG
ENSG00000230937.12	3523	MIR205HG
ENSG00000287343.1	1995	RP4-782D21.1
ENSG00000284376.1	2364	RP11-543B16.3
ENSG00000215819.3	1273	KRT18P12
ENSG00000228208.7	1242	LINC02869
ENSG00000223842.1	1126	RP11-135J2.3
ENSG00000213033.4	1212	AURKAP1
ENSG00000136630.13	5629	HLX
ENSG00000232436.1	807	RP11-103C3.1
ENSG00000287338.1	5233	XXyac-YM960E7.1
ENSG00000187554.14	7733	TLR5
ENSG00000286174.1	1240	RP11-3L21.3
ENSG00000185155.12	2035	MIXL1
ENSG00000288674.1	9620	RP5-1087E8.6
ENSG00000287525.1	904	RP11-211A18.3
ENSG00000225934.2	671	FAM133FP
ENSG00000276255.2	2642	LINC02809
ENSG00000287895.1	1065	RP5-881P19.8
ENSG00000198835.4	2165	GJC2
ENSG00000199352.1	119	RNA5S1
ENSG00000201588.1	119	RNA5S2
ENSG00000199337.1	119	RNA5S3
ENSG00000200381.1	119	RNA5S4
ENSG00000199396.1	119	RNA5S5
ENSG00000200624.1	119	RNA5S6
ENSG00000202521.1	119	RNA5S7
ENSG00000200343.1	119	RNA5S8
ENSG00000199910.1	119	RNA5S10
ENSG00000199334.1	119	RNA5S11
ENSG00000199270.1	119	RNA5S12
ENSG00000202526.1	119	RNA5S13
ENSG00000201355.1	119	RNA5S14
ENSG00000201925.1	119	RNA5S15
ENSG00000202257.1	119	RNA5S16
ENSG00000200370.1	119	RNA5S17
ENSG00000286071.1	16539	DISC2
ENSG00000280587.1	3262	LINC01348
ENSG00000273416.1	430	RP4-597N16.4
ENSG00000273058.2	543	RP11-385F5.5
ENSG00000228818.1	2720	RP11-567G24.1
ENSG00000226919.4	2730	RP11-80B9.1
ENSG00000224525.2	766	RP11-561I11.3
ENSG00000231512.6	1474	SEPTIN14P21
ENSG00000224727.1	558	FCF1P7
ENSG00000236031.1	751	RP11-269F20.1
ENSG00000272195.1	1739	RP11-156E8.1
ENSG00000226876.3	940	SMYD3-AS1
ENSG00000225222.2	427	CHCHD4P5
ENSG00000230184.1	361	SMYD3-IT1
ENSG00000260698.1	2968	RP11-439E19.9
ENSG00000237667.7	8530	LINC01115
ENSG00000234929.2	4713	AC018685.1
ENSG00000134321.13	5659	RSAD2
ENSG00000151692.15	6450	RNF144A
ENSG00000236790.6	22322	LINC00299
ENSG00000285591.1	3391	RP11-217D23.1
ENSG00000261104.1	3273	RP11-734K21.5
ENSG00000213772.3	337	EIF1P7
ENSG00000207086.1	107	Y_RNA
ENSG00000264030.2	264	RN7SL66P
ENSG00000243819.4	1756	RN7SL832P
ENSG00000203643.3	1605	AC012456.3
ENSG00000225649.6	5949	AC064875.2
ENSG00000233718.8	5100	MYCNOS
ENSG00000236989.5	1262	AC142119.1
ENSG00000228876.4	5374	AC010745.2
ENSG00000279663.3	4006	RP11-542H15.1
ENSG00000163032.12	3790	VSNL1
ENSG00000287284.1	1264	RP11-599B8.1
ENSG00000227210.2	3852	AC079145.4
ENSG00000234378.1	746	AC098828.2
ENSG00000143869.7	9267	GDF7
ENSG00000176732.7	1605	PFN4
ENSG00000276087.2	2400	RP11-507M3.1
ENSG00000232642.2	1190	AC008073.7
ENSG00000235072.2	1809	ARNILA
ENSG00000199872.1	107	RNU6-942P
ENSG00000157833.13	5942	GAREM2
ENSG00000286707.1	2782	RP11-499P9.1
ENSG00000173567.15	5761	ADGRF3
ENSG00000157851.17	7048	DPYSL5
ENSG00000272148.1	480	RP11-195B17.1
ENSG00000138080.14	3905	EMILIN1
ENSG00000138028.16	4052	CGREF1
ENSG00000163793.13	2338	DNAJC5G
ENSG00000157992.12	1403	KRTCAP3
ENSG00000270210.1	775	RP11-373D23.3
ENSG00000163806.16	3483	SPDYA
ENSG00000171094.18	7382	ALK
ENSG00000197644.2	200	AC106870.2
ENSG00000287658.1	1071	RP11-776F5.1
ENSG00000273165.1	448	RP11-1057B6.1
ENSG00000279897.2	1066	BIRC6-AS2
ENSG00000236213.2	1743	AC006369.2
ENSG00000237803.6	3806	LINC00211
ENSG00000235586.1	233	AC011247.3
ENSG00000223922.1	1223	ASS1P2
ENSG00000229692.3	1254	SOS1-IT1
ENSG00000214691.9	5084	LINC01913
ENSG00000224875.2	947	EML4-AS1
ENSG00000171126.8	3709	KCNG3
ENSG00000231826.6	4164	LINC01819
ENSG00000287387.1	2633	RP11-339H12.2
ENSG00000231336.1	364	AC017006.3
ENSG00000228925.1	1835	AC016722.4
ENSG00000239605.11	3203	STPG4
ENSG00000233230.1	856	AC079807.2
ENSG00000201010.1	325	RN7SKP224
ENSG00000282998.1	2096	RP11-152D8.1
ENSG00000234943.2	377	AC092839.4
ENSG00000285755.2	4548	RP11-111G13.1
ENSG00000228590.2	8996	MIR4432HG
ENSG00000237522.1	1231	NONOP2
ENSG00000273302.1	791	RP11-493E12.2
ENSG00000236498.1	802	AC107081.5
ENSG00000286360.1	1200	RP11-681L4.4
ENSG00000229839.6	1836	AC018462.2
ENSG00000115507.10	4833	OTX1
ENSG00000286480.1	1171	RP11-261A24.1
ENSG00000229920.2	1584	RPS4XP5
ENSG00000226756.1	627	AC007365.3
ENSG00000230749.5	2661	MEIS1-AS2
ENSG00000235885.8	8246	LINC01828
ENSG00000229948.2	975	B3GALNT1P1
ENSG00000124374.9	6300	PAIP2B
ENSG00000214513.4	2433	NOTO
ENSG00000230002.3	2105	ALMS1-IT1
ENSG00000163016.10	4690	ALMS1P1
ENSG00000273245.1	531	RP11-434P11.2
ENSG00000237737.6	4338	DCTN1-AS1
ENSG00000274049.4	2040	INO80B-WBP1
ENSG00000179528.16	2276	LBX2
ENSG00000115353.11	5128	TACR1
ENSG00000286045.1	3734	RP11-342K6.5
ENSG00000270996.1	899	RP11-342K6.4
ENSG00000115423.19	13514	DNAH6
ENSG00000246575.2	704	AC093162.5
ENSG00000249884.8	1503	RNF103-CHMP3
ENSG00000228363.2	2860	AC015971.2
ENSG00000233671.1	1376	CENPNP1
ENSG00000144115.18	7353	THNSL2
ENSG00000261522.5	2028	RP11-407P15.1
ENSG00000233757.6	2304	AC092835.2
ENSG00000198885.10	4666	ITPRIPL1
ENSG00000163121.10	2494	NEURL3
ENSG00000249715.13	10449	FER1L5
ENSG00000279791.1	2499	RP11-499E14.1
ENSG00000235833.1	1028	AC159540.14
ENSG00000168658.19	8307	VWA3B
ENSG00000236564.1	1382	YWHAQP5
ENSG00000273045.7	2058	C2orf15
ENSG00000273306.1	626	RP11-527J8.1
ENSG00000233639.7	9231	PANTR1
ENSG00000286218.2	7004	RP11-519H15.1
ENSG00000214184.3	799	GCC2-AS1
ENSG00000230696.1	610	AC011753.5
ENSG00000144063.4	2623	MALL
ENSG00000235881.2	4395	AC114776.3
ENSG00000153093.20	8169	ACOXL
ENSG00000230499.1	412	AC108463.1
ENSG00000226928.1	418	RPS14P4
ENSG00000223973.2	1241	PAFAH1B1P2
ENSG00000270019.1	1548	RP11-141B14.1
ENSG00000279957.1	1173	RP11-141B14.2
ENSG00000234199.3	2939	LINC01191
ENSG00000175497.17	10033	DPP10
ENSG00000235066.7	4282	AC009303.1
ENSG00000229867.2	3329	STEAP3-AS1
ENSG00000080293.10	3415	SCTR
ENSG00000223549.1	1594	MTND5P28
ENSG00000232140.2	1717	AC073257.1
ENSG00000286400.1	1640	RP11-313N8.1
ENSG00000272789.1	852	RP11-286H15.1
ENSG00000273950.1	258	Metazoa_SRP
ENSG00000286957.1	3037	RP11-315H12.3
ENSG00000180178.11	5022	FAR2P1
ENSG00000178162.8	5364	FAR2P2
ENSG00000274711.1	264	Metazoa_SRP
ENSG00000277668.1	264	Metazoa_SRP
ENSG00000240253.6	3736	FAR2P3
ENSG00000178171.11	6438	AMER3
ENSG00000136002.20	10613	ARHGEF4
ENSG00000288031.1	2157	RP11-1L5.2
ENSG00000176771.17	9563	NCKAP5
ENSG00000287463.1	3453	RP11-683I7.1
ENSG00000228043.5	1313	AC097721.2
ENSG00000230569.1	826	AC114763.1
ENSG00000241772.2	1051	AC092620.2
ENSG00000260059.1	2764	RP11-231E19.1
ENSG00000075884.14	6127	ARHGAP15
ENSG00000279166.1	2614	RP11-107E5.3
ENSG00000281772.1	424	RP11-567F11.2
ENSG00000231969.2	7149	MMADHC-DT
ENSG00000213197.3	694	NUDCP1
ENSG00000162989.5	4907	KCNJ3
ENSG00000230991.2	1822	AC092625.1
ENSG00000136542.9	10991	GALNT5
ENSG00000270557.1	883	RP11-546J1.1
ENSG00000227331.1	800	RPL7AP22
ENSG00000204380.4	5874	PKP4-AS1
ENSG00000054219.11	8805	LY75
ENSG00000285373.2	868	LINC02478
ENSG00000197635.11	14432	DPP4
ENSG00000288089.1	1227	RP11-342D6.1
ENSG00000178662.16	12565	CSRNP3
ENSG00000224490.5	2558	TTC21B-AS1
ENSG00000071909.19	8236	MYO3B
ENSG00000238133.6	3049	MAP3K20-AS1
ENSG00000270799.1	835	RP11-451F14.1
ENSG00000236449.2	6037	AC018890.6
ENSG00000225808.1	316	DNAJC19P5
ENSG00000271996.1	564	RP11-337N6.1
ENSG00000280374.1	757	RP11-337N6.3
ENSG00000196659.10	3799	TTC30B
ENSG00000270574.1	2117	RP11-171I2.2
ENSG00000281131.1	1436	SCHLAP1
ENSG00000162992.5	8208	NEUROD1
ENSG00000283839.1	3465	RP11-363K21.1
ENSG00000237877.7	3890	LINC01473
ENSG00000151687.15	5758	ANKAR
ENSG00000274845.1	182	ENSG10010137341.1
ENSG00000236977.1	1069	ANKRD44-IT1
ENSG00000286020.1	631	RP11-294E24.1
ENSG00000236653.3	3968	LINC01923
ENSG00000238217.6	10775	LINC01877
ENSG00000225695.1	963	HNRNPA1P35
ENSG00000232719.1	1269	RP11-13J8.1
ENSG00000230799.1	837	RPS2P16
ENSG00000138395.17	6172	CDK15
ENSG00000222035.4	3374	KIAA2012-AS1
ENSG00000286223.1	1120	RP11-686O6.3
ENSG00000227946.1	1034	AC007383.3
ENSG00000138400.13	2891	MDH1B
ENSG00000229647.2	3177	MYOSLID
ENSG00000231896.1	520	AC019185.4
ENSG00000287662.1	878	RP11-737L20.1
ENSG00000234938.2	503	AC012668.1
ENSG00000232970.1	470	POLHP1
ENSG00000236478.2	1137	AC012513.4
ENSG00000232485.3	1858	RPL37A-DT
ENSG00000180871.8	3214	CXCR2
ENSG00000179921.15	2694	GPBAR1
ENSG00000127831.11	6891	VIL1
ENSG00000072182.13	5250	ASIC4
ENSG00000224819.2	8415	AC093843.1
ENSG00000286272.1	1447	RP11-444B5.1
ENSG00000237732.9	2567	CT75
ENSG00000124019.10	3563	FAM124B
ENSG00000144460.12	5461	NYAP2
ENSG00000168955.4	2875	TM4SF20
ENSG00000284631.1	1658	SCYGR4
ENSG00000237758.1	261	BANF1P3
ENSG00000135914.6	2170	HTR2B
ENSG00000115474.7	3636	KCNJ13
ENSG00000066248.15	4647	NGEF
ENSG00000241635.8	4446	UGT1A1
ENSG00000235726.7	4292	AC010148.1
ENSG00000235529.1	664	AGAP1-IT1
ENSG00000264676.2	262	RN7SL204P
ENSG00000132321.17	5968	IQCA1
ENSG00000168427.9	3780	KLHL30
ENSG00000178752.16	3584	ERFE
ENSG00000227744.4	3489	LINC01940
ENSG00000130294.18	17879	KIF1A
ENSG00000273113.1	805	RP11-367H1.1
ENSG00000287140.1	4047	RP11-385A18.1
ENSG00000224957.6	11853	LINC01266
ENSG00000223727.6	1337	AC026188.1
ENSG00000224884.1	561	AC034187.2
ENSG00000182533.7	1947	CAV3
ENSG00000287878.1	2106	RP11-326O24.1
ENSG00000163701.19	4673	IL17RE
ENSG00000287086.1	1173	RP11-572M14.1
ENSG00000157017.16	2073	GHRL
ENSG00000272483.1	596	RP11-169K17.3
ENSG00000272263.1	510	RP11-767C1.2
ENSG00000207496.1	139	SNORA7A
ENSG00000224514.3	1045	LINC00620
ENSG00000180438.15	3748	TPRXL
ENSG00000279465.1	660	RP11-44D5.2
ENSG00000270409.1	1219	RP11-44D5.1
ENSG00000272529.1	551	RP11-415F23.4
ENSG00000233133.1	176	AC104451.2
ENSG00000287069.1	3279	RP11-38B6.1
ENSG00000261734.1	2314	RP11-669C19.1
ENSG00000282987.1	2118	RP11-901H12.1
ENSG00000151789.12	13400	ZNF385D
ENSG00000230465.1	958	VENTXP4
ENSG00000287348.1	1264	RP11-2G22.1
ENSG00000206559.8	4533	ZCWPW2
ENSG00000226216.1	371	RPS12P5
ENSG00000271993.1	628	RP11-285J16.1
ENSG00000172940.13	2997	SLC22A13
ENSG00000229589.1	2517	ACVR2B-AS1
ENSG00000168356.13	12516	SCN11A
ENSG00000168026.19	7701	TTC21A
ENSG00000283849.1	1818	RP11-331G2.7
ENSG00000202363.1	153	SNORA62
ENSG00000168314.18	9237	MOBP
ENSG00000285885.1	1279	RP11-667E17.3
ENSG00000180432.6	4174	CYP8B1
ENSG00000196345.13	4208	ZKSCAN7
ENSG00000244357.3	296	RN7SL145P
ENSG00000288720.1	7007	RP11-852E15.3
ENSG00000241186.10	2489	TDGF1
ENSG00000160808.11	2804	MYL3
ENSG00000271161.1	567	BOLA2P2
ENSG00000214773.1	1428	RP11-717D12.1
ENSG00000224895.1	755	VPS26BP1
ENSG00000164049.14	3488	FBXW12
ENSG00000285416.1	763	RP13-131K19.8
ENSG00000185614.7	1033	INKA1
ENSG00000234667.2	3959	ACTL11P
ENSG00000088543.15	3244	C3orf18
ENSG00000114737.16	5056	CISH
ENSG00000273356.1	2060	LINC02019
ENSG00000088538.13	9069	DOCK3
ENSG00000186451.2	2190	SPATA12
ENSG00000239388.9	3240	ASB14
ENSG00000272146.6	884	ARF4-AS1
ENSG00000241933.1	2919	DENND6A-DT
ENSG00000270772.1	1070	PDHA1P1
ENSG00000283148.1	845	RP11-456N14.4
ENSG00000277592.1	277	Metazoa_SRP
ENSG00000188817.8	5135	SNTN
ENSG00000224479.6	3606	AC136289.1
ENSG00000163632.14	1644	C3orf49
ENSG00000240549.2	673	THOC7-AS1
ENSG00000223409.1	557	RPL17P17
ENSG00000240175.1	591	MAGI1-AS1
ENSG00000203647.2	431	RP11-320P11.1
ENSG00000270562.1	2467	RP11-154H23.3
ENSG00000241163.8	9574	LINC00877
ENSG00000172986.13	3683	GXYLT2
ENSG00000227124.11	7648	ZNF717
ENSG00000240964.3	284	RN7SL751P
ENSG00000287158.1	3783	RP11-412N9.1
ENSG00000242339.2	481	LINC02025
ENSG00000244681.1	2709	MTHFD2P1
ENSG00000231192.3	5999	OR5H1
ENSG00000236032.3	7365	OR5H14
ENSG00000249274.1	1006	PDLIM1P4
ENSG00000241738.1	1951	ZNF90P1
ENSG00000243396.1	402	RPL32P7
ENSG00000287421.1	972	RP11-47L11.1
ENSG00000241469.9	9656	LINC00635
ENSG00000214381.6	3613	LINC00488
ENSG00000153283.13	5621	CD96
ENSG00000091972.18	2991	CD200
ENSG00000288079.1	4451	RP11-325J6.2
ENSG00000240751.1	1053	RP11-553D4.2
ENSG00000174255.8	2948	ZNF80
ENSG00000241560.7	5823	ZBTB20-AS1
ENSG00000242880.2	4762	RP11-190P13.2
ENSG00000185565.12	10286	LSAMP
ENSG00000241156.3	279	RN7SL582P
ENSG00000183833.16	7106	CFAP91
ENSG00000239835.1	1129	RP11-767L7.1
ENSG00000250174.5	827	MYLK-AS2
ENSG00000273123.1	549	RP11-9N20.3
ENSG00000229048.5	470	DUTP1
ENSG00000243508.1	713	DNAJB6P7
ENSG00000250012.2	1656	RP11-124N2.1
ENSG00000250934.2	5994	RP11-71E19.1
ENSG00000198685.4	2697	LINC01565
ENSG00000239503.1	952	MARK2P8
ENSG00000242992.3	553	FTH1P4
ENSG00000231305.4	2149	RP11-723O4.2
ENSG00000284095.1	1354	RP11-39E3.6
ENSG00000250608.2	8656	RP11-933H2.4
ENSG00000246082.2	2312	NUDT16L2P
ENSG00000144868.14	8408	TMEM108
ENSG00000250983.1	202	RP11-91K8.2
ENSG00000231845.3	599	HMGB3P14
ENSG00000261758.1	3151	STAG1-DT
ENSG00000240668.1	1440	KRT8P36
ENSG00000241429.1	1267	EEF1A1P25
ENSG00000206260.4	2307	PRR23A
ENSG00000114115.10	3905	RBP1
ENSG00000244327.1	765	RP11-383G6.3
ENSG00000181804.15	4041	SLC9A9
ENSG00000153002.12	5703	CPB1
ENSG00000244468.1	551	RP11-206M11.7
ENSG00000241985.1	451	WWTR1-IT1
ENSG00000206199.11	6544	ANKUB1
ENSG00000239351.1	803	NPM1P29
ENSG00000271711.1	616	RP11-392O18.2
ENSG00000244265.2	4076	SIAH2-AS1
ENSG00000239265.5	3064	CLRN1-AS1
ENSG00000243305.1	474	RP11-362A9.3
ENSG00000287706.1	1399	RP11-788A4.3
ENSG00000197980.13	5602	LEKR1
