Geneid	Length	gene_name	RNA_8CEmbryo1_Cell4_014_scRR3	RNA_8CEmbryo1_Cell3_013_scRR3	RNA_8CEmbryo1_Cell6_020_scRR1	RNA_8CEmbryo1_Cell7_021_scRR1	RNA_8CEmbryo2_Cell6_023_scRR1	RNA_8CEmbryo1_Cell2_012_scRR3	RNA_8CEmbryo2_Cell3_017_scRR3	RNA_8CEmbryo1_Cell1_011_scRR3	RNA_8CEmbryo2_Cell1_015_scRR3	RNA_8CEmbryo2_Cell7_024_scRR1	RNA_8CEmbryo2_Cell5_022_scRR1	RNA_8CEmbryo2_Cell2_016_scRR3	RNA_8CEmbryo2_Cell8_025_scRR1	GTseq.RNA.140619.G1.sc.1996943	GTseq.RNA.140619.H5.sc.1996957	GTseq.RNA.140619.G4.sc.1996946	GTseq.RNA.140619.G2.sc.1996944	GTseq.RNA.140619.G3.sc.1996945	GTseq.RNA.140619.G5.sc.1996947	GTseq.RNA.140619.H1.sc.1996953	GTseq.RNA.140619.G7.sc.1996949	GTseq.RNA.140619.H3.sc.1996955	GTseq.RNA.140619.H2.sc.1996954	GTseq.RNA.140619.G8.sc.1996950	GTseq.RNA.140619.H4.sc.1996956	GTseq.RNA.140619.H7.sc.1996959	GTseq.RNA.140619.H8.sc.1996960	SRR10267003_GSM4118741_DBA_2J_x_C57_BL6J_8cell_cells_rep2_Mus_musculus_RNA.Seq.sampled	SRR10267004_GSM4118741_DBA_2J_x_C57_BL6J_8cell_cells_rep2_Mus_musculus_RNA.Seq.sampled	SRR10267005_GSM4118742_DBA_2J_x_C57_BL6J_8cell_cells_rep1_Mus_musculus_RNA.Seq.sampled
ENSMUSG00000080999.1	334	H2ac5-ps	17.52	3.43	5.27	1	13.43	27.22	18.8	7.52	24.24	5.8	6	14.72	9.65	3.6	2.6	5.86	5.27	14.43	1.4	4.2	6.25	9.73	7.48	32.33	1.25	5.27	4.15	90.53	81.72	82.03
ENSMUSG00000061615.2	473	H2ac4	27.86	6.63	6.07	1.2	24.43	41.69	33.2	15.12	37.64	6.8	8.2	24.52	15.05	3.6	4.6	4.92	9.6	26.9	1.4	4.2	9.05	14.4	13.77	33.67	2.05	5.6	7.75	100.05	104.28	96.1
ENSMUSG00000060081.1	390	H2ac1	4.4	2.2	0.2	0	0	6.4	4.8	5	2.2	2	2	1.2	0	0	0	0	0	0	0	0	3	0.2	0	0.2	0.2	0	0	2	4.2	9
ENSMUSG00000068854.7	2620	H2bc21	0	0	0	2	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000105827.1	381	H2bc18	31	10	31	0	36	52	58.5	42	76.5	24	19	59.5	33	1	0	0	0	8	0	0	5	7	0	4	0	0	0	0	1	1
ENSMUSG00000094338.1	381	H2bc13	20.42	2.2	4.6	1.4	14.4	24.3	21.82	10.7	27.48	10.55	3.9	16.12	6	0.4	0	0.8	0.4	0.2	0	0.2	0.8	1.4	0.2	1.2	0	0.8	0.2	1	1.6	1.8
ENSMUSG00000114279.1	524	H2bc14	7.73	2	3.4	0.8	7.9	11.7	8.3	1.8	9.63	7.4	1.9	10.1	3.8	0	1	0.2	0	0.2	0	0	0.2	0.4	0	0	0	0	0.2	1.6	0.6	5.6
ENSMUSG00000095217.1	381	H2bc15	14.12	0.6	4.25	2.2	8.2	12.45	14.68	9.2	14.95	9.45	3.25	10.42	6.8	0.8	1	1	1.2	0	0	0	1.6	1.8	0	1.2	0	0.8	0	0.6	0.4	2.8
ENSMUSG00000062727.4	476	H2bc12	16.7	3.05	7.8	4.75	17.3	31.25	28.2	20.95	36.05	12.9	8.1	17.85	7.75	0.8	0.6	5	7.3	3.65	0	0.2	3.3	10.2	0.4	9.2	0	1	0.9	4	1.6	2.45
ENSMUSG00000069300.3	463	H2bc11	16.1	3.25	4.35	7.15	10.7	18.4	10.2	14.55	12.85	6.25	2.65	14.75	2.75	0.2	0.4	3.6	1.5	0.45	0	2.4	0.9	3.6	2.2	8.4	0	0.4	3.9	2	1.4	4.65
ENSMUSG00000114456.1	1679	H2bc9	11	1.98	3.02	1.05	3.47	8.08	11	3.62	7.87	3.92	1.45	4.97	4.2	0.8	0	0.2	0.2	3	0	0	0.67	0.4	0.2	0.45	0	0.6	0	1.23	2	5.22
ENSMUSG00000058385.8	618	H2bc8	20.47	2.78	3.37	2.35	8.07	21.83	18.27	17.58	35.9	11.25	3.47	19.57	5.57	0.4	0.4	0.4	0.2	0	0	0.33	1.27	1.4	0.2	1.05	0	6.8	1.2	4.5	2.07	8.55
ENSMUSG00000069268.4	461	H2bc7	25.02	1.8	3.05	9.1	14.5	21.2	26.75	14.82	33	14.23	2.92	20.97	4.77	0.6	0	0.2	0	0	0	0.33	0.2	0.2	0	0.8	0	2.6	0.67	0.73	0.87	1.53
ENSMUSG00000047246.7	4446	H2bc6	16.35	3.05	6.8	1.65	4.8	17.85	11.18	5.9	17.07	7.45	3.2	8.13	3.8	0.4	0.2	0.4	0.4	0	0	0	9.6	1.6	0	5.15	0	0.4	1.03	7.23	2.7	5.95
ENSMUSG00000018102.5	1156	H2bc4	24.97	2.58	4.8	2.05	10.1	18.83	18.83	8.72	21.13	9.65	2.87	10.3	3.27	0.2	0.4	5.2	1.2	0	0	0.33	1.67	1.4	0	1.25	0	0.4	1	14.7	14.87	27.75
ENSMUSG00000075031.4	508	H2bc3	6.93	0.2	2.8	0.4	3.2	9.8	7.5	5.4	12.6	5.2	1.6	7.2	2	0.2	0.6	1	0.6	0.2	0	0.2	0.4	0.8	0.4	1.6	0	0.4	0.2	1.6	0.2	3.2
ENSMUSG00000050799.3	384	H2bc1	3	0.4	0.6	0.2	0.6	2.8	2	1	2.8	0.4	0	1.4	2	0	0	0	0.4	0	0	0	0	0.2	0.2	0.6	4	0.2	0.2	0.8	0.8	1.2
ENSMUSG00000056895.4	614	H2bu2	0.2	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2
ENSMUSG00000080712.3	465	H2bu1-ps	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081058.5	1020	H3c15	9.7	0.53	5.63	0	3.1	13.27	10.07	7.53	10.67	9.1	6	22.13	5.67	0.2	0	2.33	0.2	0.67	0	0.6	5.73	8.53	5.5	8.4	0.4	2.73	0.2	7.57	6.03	16.27
ENSMUSG00000093769.4	1825	H3c14	8.7	1.73	5.83	0	2.9	14.37	10.47	8.93	8.27	8.9	6	21.23	25.27	0.2	0	2.33	0.2	0.67	0	0.4	5.53	8.93	9.5	8	32	2.73	0	11.37	5.83	16.27
ENSMUSG00000074403.2	488	H3c13	3.8	2.93	3.73	0.4	1.4	7.97	4.07	4.73	5.87	7.2	4	10.43	5.07	0.4	0.2	2.33	0.6	1.67	0	0.2	5.33	6.53	0.4	6.6	0.4	2.33	0.2	5.87	6.53	10.67
ENSMUSG00000101355.1	411	H3c10	10.52	2.25	3.7	1.8	4	12.52	3	4.25	8.07	5.02	2.4	8.53	1.73	0	0	0.4	2.6	0.6	0	1.13	3	3.68	0.6	9.37	1.3	5.05	0	1	1.1	2.05
ENSMUSG00000101972.1	411	H3c11	11.88	3.25	3.6	0.8	4.8	11.58	4.8	2.85	7.7	4.35	2.2	8.5	1.53	0.4	2.4	1.9	4.1	0.4	0	2.2	7.5	9.78	1	25.67	1.5	3.55	0.2	1.6	1.5	5.05
ENSMUSG00000099517.2	530	H3c8	7.27	3.2	4.5	1.4	10.6	13.92	6.2	3.6	11.27	3.87	0.6	4.53	3.13	0.2	1.2	1.2	0.8	0.4	0	0.73	1.1	4.48	0.8	6.32	0.6	3.65	2.2	2.6	1.7	1.6
ENSMUSG00000100210.2	1261	H3c7	18.38	6.2	4.25	1.4	7.07	17.13	5.45	3.8	8.57	2.65	5.9	3.85	2.15	0.4	0.25	0.2	2.63	2.12	0	0.9	3.1	1.65	0.4	9.88	0.4	1	0	0.4	0.33	6.1
ENSMUSG00000069273.2	836	H3c6	14.75	2.9	7.05	0.8	3.5	10.75	4.55	3.7	7.45	5.95	2.9	4.15	3.7	3.4	0.65	0.2	3.95	5.45	0	1.2	4.5	7.2	0.6	9	1.1	8.25	1	0.6	1.6	7.55
ENSMUSG00000099583.2	1249	H3c4	12.1	2.75	3.05	1.6	11.3	12	4.95	3.95	13.85	4.6	2.7	7.85	2	0.2	1.65	0.4	8.95	2.05	0	1.2	17.4	5.75	2.8	9.35	2	3.1	0	2.2	0.8	2.3
ENSMUSG00000069310.4	630	H3c3	24.83	2.9	9.4	2.2	17.17	39.33	14.1	14.9	18.12	6.7	5.3	19.7	6.35	0.4	0.2	3.7	9.08	6.87	0	0.6	9.6	2.2	2.6	11.03	0.6	6.9	1.2	0.6	1.03	0.95
ENSMUSG00000069267.2	620	H3c2	19.23	3.25	3.95	2.9	6.57	18.93	9.35	3.95	13.17	7.3	2.4	10.35	2.95	0	0.45	0.6	4.03	1.52	0	2.7	3	2.85	0.8	8.33	0.9	1.8	0	0.8	1.13	2.35
ENSMUSG00000069265.2	534	H3c1	14.83	3.1	5.3	0.7	2.6	12.23	10	6.8	14.02	4.37	5.6	11.73	5.45	0.2	1	0.4	0.85	3.6	0	4.13	1.2	0.4	0	7.05	0.8	1.9	0	0.4	1.4	0.85
ENSMUSG00000091405.2	1630	H4c14	2.5	3.5	4	0	4	13.5	1	1.5	3	1	1	6.5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
ENSMUSG00000067455.5	774	H4c11	8.95	1.8	1.4	1.2	5.2	11.3	4.1	3.3	6.13	2.2	1.3	3.8	3.6	1.4	0.7	0.2	1.3	1.5	1	0	0.5	0	2.7	0.2	0	0	0	2	0.8	4.4
ENSMUSG00000064288.4	312	H4c12	17.5	2.25	6	3	5.9	19.9	6.9	3.83	7.32	7.13	1.63	9.4	5.8	1.4	1.7	0.2	0.8	0.8	1	0	0	0	1.5	0.6	0	0	0.2	2.2	1.2	3.53
ENSMUSG00000060639.5	727	H4c9	10.45	4.15	11.42	0.6	19.2	22.3	11.2	14.7	15.85	7.9	2.55	13.1	15.38	18.5	3.83	1.83	1.4	2.4	5.1	6.5	8.5	1	8.27	6.9	0	5	1.73	22.37	24.2	31
ENSMUSG00000060981.7	470	H4c8	28.92	5	4.4	2	10.23	20.93	8.9	10.9	21.17	9.57	0.77	11.87	3.17	1.2	6.2	0.2	4.3	3.3	8.47	0	0	0	1	0.4	0	0	0	0.8	2.4	7.4
ENSMUSG00000069274.3	391	H4c6	10.03	2.3	4.27	0	3.43	10.97	3.47	3.6	5.7	2.23	0.57	5.67	1.1	0.4	0.33	0.33	0.2	0.4	1.47	0	0	0	0.4	0.4	0	0.2	0	0.4	1	2.2
ENSMUSG00000061482.7	1138	H4c4	50.22	21.15	22.02	11	17.5	97.83	32.27	57.87	47.58	54.17	8.15	62.17	37.98	3.7	44.83	15.83	14.2	19.2	7.1	22.5	27.5	11	26.6	20.5	0	9	7	106.9	114.8	191.8
ENSMUSG00000060678.5	820	H4c3	21.03	4.45	9.2	2.2	18.43	23.3	13.7	9.6	14.55	10	6.6	9.1	9.4	0.8	0	0	0.2	0.9	0.6	1	0	0	0.8	1.2	0	0.2	0.4	2	4	5.2
ENSMUSG00000069266.5	397	H4c2	11.63	4.15	6.1	2.4	10.57	25.8	7.93	3.8	10.78	7.93	5.83	9.67	9.6	0.6	0.2	0.2	0.4	1.5	0.6	0	0	0	0.8	0.2	0	0.2	0.2	1.4	4.2	4.33
ENSMUSG00000060093.6	539	H4c1	16.3	6.35	5.7	2.2	7.47	26.23	6.13	7.43	7.18	8.73	4.03	18.7	6	0.6	0.2	0	0.8	0.6	1.87	0	0	0	0.6	0.2	0	1.2	0.2	1.4	1.2	3.73
ENSMUSG00000041126.16	1633	H2az2	143	234	118	261	117	170	227	167	207	224	107	221	191	496	617	491	523	311	457	236	552	436	681	365	296	396	421	1910	1830	1501
