Geneid	Chr	Start	End	Strand	Length	gene_name
ENSG00000131584.19	chr1	1292390	1309609	-	17220	ACAP3
ENSG00000278073.1	chr1	1296110	1296170	-	61	MIR6726
ENSG00000169972.12	chr1	1308597	1311677	+	3081	PUSL1
ENSG00000127054.21	chr1	1311585	1324687	-	13103	INTS11
ENSG00000283712.1	chr1	1312502	1312566	-	65	MIR6727
ENSG00000240731.1	chr1	1317581	1318689	-	1109	RP5-890O3.9
ENSG00000224051.7	chr1	1324756	1328896	+	4141	CPTP
ENSG00000169962.5	chr1	1331280	1335314	+	4035	TAS1R3
ENSG00000107404.20	chr1	1335276	1349418	-	14143	DVL1
ENSG00000284372.1	chr1	1339650	1339708	-	59	MIR6808
ENSG00000162576.17	chr1	1352689	1361777	-	9089	MXRA8
ENSG00000175756.13	chr1	1373730	1375495	-	1766	AURKAIP1
ENSG00000223663.2	chr1	1378666	1379032	+	367	NDUFB4P8
ENSG00000221978.12	chr1	1385711	1399335	-	13625	CCNL2
ENSG00000224870.7	chr1	1399520	1402046	+	2527	MRPL20-AS1
ENSG00000242485.6	chr1	1401909	1407293	-	5385	MRPL20
ENSG00000264293.2	chr1	1405460	1405752	-	293	RN7SL657P
ENSG00000272455.1	chr1	1409096	1410618	+	1523	MRPL20-DT
ENSG00000235098.9	chr1	1418420	1421769	-	3350	ANKRD65
ENSG00000225905.1	chr1	1420245	1422691	+	2447	RP4-758J18.7
ENSG00000205116.4	chr1	1425871	1430255	+	4385	TMEM88B
ENSG00000225285.1	chr1	1430539	1434573	-	4035	LINC01770
ENSG00000179403.12	chr1	1434861	1442882	+	8022	VWA1
ENSG00000215915.10	chr1	1449689	1470163	+	20475	ATAD3C
ENSG00000160072.20	chr1	1471765	1497848	+	26084	ATAD3B
ENSG00000284740.1	chr1	1503250	1509452	+	6203	RP5-832C2.8
ENSG00000197785.14	chr1	1512162	1534685	+	22524	ATAD3A
ENSG00000205090.9	chr1	1534778	1540624	-	5847	TMEM240
ENSG00000160075.12	chr1	1541673	1574863	-	33191	SSU72
ENSG00000215014.5	chr1	1574102	1577075	+	2974	RP5-832C2.5
ENSG00000274481.1	chr1	1583510	1583909	-	400	RP11-345P4.11
ENSG00000228594.4	chr1	1598012	1600135	-	2124	FNDC10
ENSG00000286989.1	chr1	1600314	1602703	+	2390	RP11-345P4.12
ENSG00000272106.1	chr1	1613758	1615795	-	2038	RP11-345P4.9
ENSG00000197530.13	chr1	1615454	1630605	+	15152	MIB2
ENSG00000189409.14	chr1	1632163	1635263	+	3101	MMP23B
ENSG00000248333.9	chr1	1635225	1659012	-	23788	CDK11B
ENSG00000272004.1	chr1	1659325	1662602	+	3278	RP11-345P4.10
ENSG00000189339.12	chr1	1659529	1692795	-	33267	SLC35E2B
ENSG00000269737.2	chr1	1671990	1674397	+	2408	RP11-345P4.6
ENSG00000215914.4	chr1	1699942	1701782	+	1841	MMP23A
ENSG00000008128.23	chr1	1702379	1724357	-	21979	CDK11A
ENSG00000268575.1	chr1	1702736	1737688	-	34953	RP1-283E3.8
ENSG00000227775.3	chr1	1724512	1737251	+	12740	RP1-283E3.4
ENSG00000215790.8	chr1	1724838	1745992	-	21155	SLC35E2A
ENSG00000008130.15	chr1	1751232	1780457	-	29226	NADK
ENSG00000078369.18	chr1	1785285	1891117	-	105833	GNB1
ENSG00000231050.1	chr1	1891471	1892658	+	1188	RP1-140A9.1
ENSG00000169885.10	chr1	1915108	1917296	+	2189	CALML6
ENSG00000178821.13	chr1	1917590	1919279	-	1690	TMEM52
ENSG00000142609.19	chr1	1921951	2003837	-	81887	CFAP74
ENSG00000233542.2	chr1	2013213	2015639	-	2427	RP11-547D24.1
ENSG00000187730.9	chr1	2019329	2030758	+	11430	GABRD
ENSG00000226969.1	chr1	2049203	2050070	-	868	RP11-547D24.3
ENSG00000067606.17	chr1	2050411	2185395	+	134985	PRKCZ
ENSG00000271806.1	chr1	2141084	2145279	-	4196	RP5-892K4.1
ENSG00000182873.5	chr1	2181794	2184389	-	2596	PRKCZ-AS1
ENSG00000162585.17	chr1	2184461	2212720	-	28260	FAAP20
ENSG00000234396.3	chr1	2212523	2220738	+	8216	RP11-181G12.4
ENSG00000157933.10	chr1	2228319	2310213	+	81895	SKI
ENSG00000287356.1	chr1	2315040	2323085	+	8046	RP11-181G12.8
ENSG00000116151.14	chr1	2321253	2391707	-	70455	MORN1
ENSG00000272161.1	chr1	2326201	2326693	-	493	RP4-713A8.1
ENSG00000269896.2	chr1	2350414	2352820	-	2407	RP4-740C4.5
ENSG00000272420.1	chr1	2363061	2363628	-	568	RP4-740C4.7
ENSG00000157916.20	chr1	2391775	2405442	+	13668	RER1
ENSG00000157911.11	chr1	2403964	2413797	-	9834	PEX10
ENSG00000149527.18	chr1	2425980	2505532	+	79553	PLCH2
ENSG00000224387.1	chr1	2492300	2493258	-	959	RP3-395M20.2
ENSG00000229393.1	chr1	2493437	2494479	-	1043	RP3-395M20.3
ENSG00000157881.16	chr1	2508537	2526597	-	18061	PANK4
ENSG00000197921.6	chr1	2528745	2530263	-	1519	HES5
ENSG00000272449.2	chr1	2530064	2547460	+	17397	RP3-395M20.12
ENSG00000238164.6	chr1	2549920	2557031	-	7112	TNFRSF14-AS1
ENSG00000157873.18	chr1	2555639	2565382	+	9744	TNFRSF14
ENSG00000225931.3	chr1	2566410	2569888	+	3479	RP3-395M20.7
ENSG00000228037.1	chr1	2581560	2584533	+	2974	RP3-395M20.9
ENSG00000157870.17	chr1	2586491	2591469	+	4979	PRXL2B
ENSG00000142606.16	chr1	2590639	2633016	-	42378	MMEL1
ENSG00000237058.1	chr1	2632568	2636620	+	4053	MMEL1-AS1
ENSG00000215912.12	chr1	2635976	2801717	-	165742	TTC34
ENSG00000285945.1	chr1	2768091	2784733	+	16643	ABC14-1188822O7.2
ENSG00000283259.1	chr1	2773603	2776473	+	2871	ABC14-1188822O7.1
ENSG00000233234.1	chr1	2811850	2812692	-	843	RP11-740P5.2
ENSG00000287396.1	chr1	2814056	2817767	+	3712	RP11-740P5.4
ENSG00000231630.1	chr1	2814432	2814998	-	567	RP11-740P5.3
ENSG00000284745.1	chr1	2960658	2968707	-	8050	RP5-907A6.1
ENSG00000169717.7	chr1	3021467	3022903	+	1437	ACTRT2
ENSG00000177133.12	chr1	3059615	3068437	-	8823	PRDM16-DT
ENSG00000142611.17	chr1	3069168	3438621	+	369454	PRDM16
ENSG00000283572.1	chr1	3127975	3128035	+	61	MIR4251
ENSG00000226286.1	chr1	3132927	3133709	-	783	RP1-163G9.2
ENSG00000279839.1	chr1	3205988	3208664	+	2677	RP11-193J6.1
ENSG00000272235.1	chr1	3306636	3310096	-	3461	RP11-22L13.1
ENSG00000287828.1	chr1	3313052	3323149	-	10098	RP4-785P20.3
ENSG00000286518.1	chr1	3367815	3373928	-	6114	RP4-785P20.2
ENSG00000130762.15	chr1	3454665	3481113	+	26449	ARHGEF16
ENSG00000272088.1	chr1	3487246	3487627	+	382	RP11-168F9.2
ENSG00000162591.16	chr1	3487951	3611508	-	123558	MEGF6
ENSG00000207776.1	chr1	3560695	3560790	-	96	MIR551A
ENSG00000238260.1	chr1	3623190	3624743	-	1554	RP11-46F15.2
ENSG00000158109.15	chr1	3625015	3630127	+	5113	TPRG1L
ENSG00000116213.16	chr1	3630767	3652761	-	21995	WRAP73
ENSG00000078900.15	chr1	3652516	3736201	+	83686	TP73
ENSG00000227589.1	chr1	3658938	3668772	-	9835	TP73-AS3
ENSG00000235131.1	chr1	3712200	3714298	-	2099	TP73-AS2
ENSG00000227372.12	chr1	3735511	3747373	-	11863	TP73-AS1
ENSG00000276189.1	chr1	3736943	3737103	+	161	ENSG10010138423.1
ENSG00000162592.10	chr1	3746460	3771645	+	25186	CCDC27
ENSG00000235169.11	chr1	3772749	3775982	+	3234	SMIM1
ENSG00000130764.10	chr1	3778559	3796498	-	17940	LRRC47
ENSG00000266075.2	chr1	3782815	3783111	+	297	RN7SL574P
ENSG00000272153.1	chr1	3785008	3785538	+	531	RP1-286D6.5
ENSG00000116198.14	chr1	3812086	3857396	-	45311	CEP104
ENSG00000169598.17	chr1	3857267	3885429	+	28163	DFFB
ENSG00000198912.12	chr1	3889125	3900293	-	11169	C1orf174
ENSG00000236423.6	chr1	3900352	3917225	+	16874	LINC01134
ENSG00000233304.7	chr1	3940486	3955262	+	14777	LINC01346
ENSG00000226374.3	chr1	3944547	3949024	-	4478	LINC01345
ENSG00000284668.2	chr1	3976133	4012704	+	36572	LINC02780
ENSG00000284703.1	chr1	4012921	4019508	-	6588	RP11-718D19.2
ENSG00000229280.1	chr1	4175528	4175899	-	372	EEF1DP6
ENSG00000235054.4	chr1	4412027	4424689	+	12663	LINC01777
ENSG00000284694.1	chr1	4479131	4484375	-	5245	RP5-1166F10.2
ENSG00000227169.2	chr1	4551735	4552145	-	411	RP1-37J18.1
ENSG00000232596.3	chr1	4571481	4594016	+	22536	LINC01646
ENSG00000196581.11	chr1	4654609	4792534	+	137926	AJAP1
ENSG00000287586.1	chr1	4730211	4734992	-	4782	RP1-77N19.1
ENSG00000284739.1	chr1	4963954	4973298	-	9345	RP4-603B14.2
ENSG00000284674.1	chr1	4973381	4981568	+	8188	LINC02781
ENSG00000231510.1	chr1	5086459	5090899	-	4441	LINC02782
ENSG00000284616.1	chr1	5301928	5307394	-	5467	RP4-703E10.1
ENSG00000284692.2	chr1	5478736	5493057	-	14322	RP1-58B11.2
ENSG00000284666.1	chr1	5480787	5482028	-	1242	RP1-58B11.3
ENSG00000260972.1	chr1	5492978	5494674	+	1697	RP1-58B11.1
ENSG00000283356.1	chr1	5554747	5554881	+	135	RP3-491M17.1
ENSG00000236948.2	chr1	5561709	5668295	-	106587	RP11-154H17.1
ENSG00000264341.1	chr1	5564071	5564143	+	73	ENSG00000264341
ENSG00000264101.1	chr1	5862672	5862741	-	70	MIR4689
ENSG00000131697.18	chr1	5862811	5992473	-	129663	NPHP4
ENSG00000069424.15	chr1	5990927	6101193	+	110267	KCNAB2
ENSG00000116254.18	chr1	6101787	6180321	-	78535	CHD5
ENSG00000285629.1	chr1	6159430	6197757	-	38328	RP1-120G22.12
ENSG00000116251.11	chr1	6185020	6209389	-	24370	RPL22
ENSG00000226944.1	chr1	6204840	6205780	-	941	RNF207-AS1
ENSG00000158286.13	chr1	6205475	6221299	+	15825	RNF207
ENSG00000116237.16	chr1	6221193	6235972	-	14780	ICMT
ENSG00000225077.3	chr1	6234692	6239444	+	4753	LINC00337
ENSG00000173673.8	chr1	6244179	6245578	+	1400	HES3
ENSG00000158292.7	chr1	6247353	6261098	-	13746	GPR153
ENSG00000097021.20	chr1	6264269	6393767	-	129499	ACOT7
ENSG00000271746.1	chr1	6393555	6394391	+	837	RP1-202O8.3
ENSG00000069812.11	chr1	6412418	6424670	-	12253	HES2
ENSG00000187017.17	chr1	6424776	6461367	+	36592	ESPN
ENSG00000265392.1	chr1	6429834	6429896	-	63	MIR4252
ENSG00000231868.1	chr1	6443034	6447006	-	3973	RP1-202O8.2
ENSG00000215788.11	chr1	6460786	6466175	-	5390	TNFRSF25
ENSG00000171680.23	chr1	6467122	6520074	-	52953	PLEKHG5
ENSG00000162408.11	chr1	6521347	6554513	-	33167	NOL9
ENSG00000253022.1	chr1	6540854	6540964	+	111	RNU6-731P
ENSG00000229519.2	chr1	6547905	6548619	+	715	RP11-58A11.2
ENSG00000173662.21	chr1	6555307	6579755	+	24449	TAS1R1
ENSG00000204859.13	chr1	6579994	6589280	+	9287	ZBTB48
ENSG00000162413.16	chr1	6590724	6614607	-	23884	KLHL21
ENSG00000116273.6	chr1	6613731	6624030	+	10300	PHF13
ENSG00000041988.15	chr1	6624866	6635586	+	10721	THAP3
ENSG00000007923.16	chr1	6634168	6701924	-	67757	DNAJC11
ENSG00000228750.7	chr1	6724637	6730012	+	5376	LINC01672
ENSG00000284744.1	chr1	6767954	6770038	+	2085	RP11-242F24.2
ENSG00000237436.1	chr1	6783892	6784843	-	952	CAMTA1-DT
ENSG00000171735.19	chr1	6785454	7769706	+	984253	CAMTA1
ENSG00000227950.1	chr1	6834333	6834618	-	286	RP11-312B8.2
ENSG00000237365.1	chr1	7008376	7014279	-	5904	RP11-334N17.1
ENSG00000207056.1	chr1	7219360	7219524	+	165	RNU1-8P
ENSG00000237402.1	chr1	7368942	7370270	+	1329	CAMTA1-IT1
ENSG00000237728.2	chr1	7382487	7389754	-	7268	CAMTA1-AS2
ENSG00000225126.1	chr1	7441096	7441554	-	459	CAMTA1-AS1
ENSG00000270171.1	chr1	7693124	7694844	-	1721	RP11-338N10.1
ENSG00000270035.1	chr1	7698303	7698872	-	570	RP11-338N10.2
ENSG00000269978.1	chr1	7700704	7700970	-	267	RP11-338N10.3
ENSG00000049245.13	chr1	7771296	7781432	+	10137	VAMP3
ENSG00000269925.1	chr1	7776383	7776775	+	393	RP3-467L1.6
ENSG00000049246.15	chr1	7784291	7845177	+	60887	PER3
ENSG00000236266.1	chr1	7810242	7827342	-	17101	RP3-467L1.4
ENSG00000049247.14	chr1	7843083	7853512	-	10430	UTS2
ENSG00000049249.9	chr1	7915871	7943165	-	27295	TNFRSF9
ENSG00000270330.1	chr1	7942372	7942726	+	355	RP5-892F13.2
ENSG00000116288.13	chr1	7954291	7985505	+	31215	PARK7
ENSG00000200344.1	chr1	7982881	7982983	-	103	Y_RNA
ENSG00000284747.1	chr1	7991134	8005312	+	14179	CTA-215D11.6
ENSG00000284716.1	chr1	7998187	7999934	-	1748	CTA-215D11.5
ENSG00000116285.13	chr1	8004404	8026309	-	21906	ERRFI1
ENSG00000238290.1	chr1	8026738	8122702	+	95965	RP11-431K24.1
ENSG00000232848.1	chr1	8057245	8058463	-	1219	CTA-215D11.4
ENSG00000229305.1	chr1	8189824	8192770	+	2947	RP11-431K24.2
ENSG00000227634.3	chr1	8201518	8215210	+	13693	LINC01714
ENSG00000200975.1	chr1	8206434	8206597	-	164	RNU1-7P
ENSG00000233645.1	chr1	8218190	8220529	-	2340	RP11-431K24.4
ENSG00000251977.1	chr1	8292157	8292263	-	107	RNU6-991P
ENSG00000162426.16	chr1	8318114	8344167	+	26054	SLC45A1
ENSG00000252254.1	chr1	8328067	8328179	+	113	Y_RNA
ENSG00000142599.19	chr1	8352397	8848921	-	496525	RERE
ENSG00000232912.6	chr1	8424645	8435013	+	10369	RERE-AS1
ENSG00000221083.1	chr1	8511795	8511919	-	125	ENSG10010135148.1
ENSG00000270282.1	chr1	8512653	8513021	+	369	RP5-1115A15.2
ENSG00000234619.1	chr1	8750430	8751087	+	658	RPL7P11
ENSG00000224315.2	chr1	8786211	8786913	-	703	RPL7P7
ENSG00000222511.2	chr1	8796571	8796673	-	103	Y_RNA
ENSG00000226545.1	chr1	8798475	8799506	+	1032	RP4-633I8.3
ENSG00000228423.2	chr1	8805860	8807051	-	1192	RP4-633I8.4
ENSG00000229716.2	chr1	8831007	8831375	+	369	RPL23AP19
ENSG00000074800.16	chr1	8861000	8879190	-	18191	ENO1
ENSG00000274258.1	chr1	8866502	8866590	-	89	MIR6728
ENSG00000230679.1	chr1	8878835	8879894	+	1060	ENO1-AS1
ENSG00000201725.1	chr1	8883427	8883533	-	107	RNU6-304P
ENSG00000238249.2	chr1	8893409	8894151	+	743	HMGN2P17
ENSG00000232208.2	chr1	8907393	8907744	-	352	RP3-477M7.5
ENSG00000232663.2	chr1	8909742	8909904	+	163	RP3-477M7.6
ENSG00000131686.15	chr1	8945867	8975092	+	29226	CA6
ENSG00000265141.2	chr1	8979576	8979874	-	299	RN7SL451P
ENSG00000197241.4	chr1	9002973	9026423	-	23451	SLC2A7
ENSG00000142583.18	chr1	9035106	9088478	-	53373	SLC2A5
ENSG00000252404.1	chr1	9082696	9082879	+	184	ENSG10010139882.1
ENSG00000180758.12	chr1	9100305	9129102	-	28798	GPR157
ENSG00000228526.7	chr1	9148011	9198906	-	50896	MIR34AHG
ENSG00000284357.1	chr1	9151668	9151777	-	110	MIR34A
ENSG00000234546.4	chr1	9182004	9196284	+	14281	LNCTAM34A
ENSG00000049239.13	chr1	9234774	9271337	+	36564	H6PD
ENSG00000171621.14	chr1	9292894	9369532	+	76639	SPSB1
ENSG00000284652.1	chr1	9421098	9422862	-	1765	CTD-2510L9.2
ENSG00000284693.1	chr1	9425094	9440564	-	15471	LINC02606
ENSG00000252956.1	chr1	9437669	9437778	-	110	RNA5SP40
ENSG00000235263.1	chr1	9501092	9503471	-	2380	RP13-392I16.1
ENSG00000171612.7	chr1	9539465	9585173	+	45709	SLC25A33
ENSG00000231181.1	chr1	9576427	9576985	+	559	RP13-15M17.1
ENSG00000188807.13	chr1	9588911	9614877	+	25967	TMEM201
ENSG00000171608.16	chr1	9651731	9729114	+	77384	PIK3CD
ENSG00000179840.5	chr1	9652610	9654586	-	1977	PIK3CD-AS1
ENSG00000233268.3	chr1	9660828	9662626	-	1799	RP11-558F24.2
ENSG00000231789.2	chr1	9672426	9687555	-	15130	PIK3CD-AS2
ENSG00000171603.18	chr1	9728926	9823984	-	95059	CLSTN1
ENSG00000271264.1	chr1	9780822	9781240	+	419	MZT1P1
ENSG00000280113.2	chr1	9826289	9828271	-	1983	RP11-84A14.7
ENSG00000178585.15	chr1	9848276	9910336	-	62061	CTNNBIP1
ENSG00000223989.1	chr1	9848318	9850154	+	1837	RP11-84A14.5
ENSG00000285701.1	chr1	9900614	9908034	+	7421	RP11-84A14.8
ENSG00000162441.12	chr1	9922113	9943407	-	21295	LZIC
ENSG00000228150.1	chr1	9942923	9949974	+	7052	RP11-84A14.4
ENSG00000173614.14	chr1	9943428	9985501	+	42074	NMNAT1
ENSG00000202415.1	chr1	9947318	9947636	+	319	RN7SKP269
ENSG00000283611.2	chr1	9950572	9960787	-	10216	TMEM274P
ENSG00000265521.1	chr1	9967381	9967458	+	78	MIR5697
ENSG00000241326.1	chr1	9983141	9984568	+	1428	RP11-807G9.2
ENSG00000162444.12	chr1	9997206	10016021	+	18816	RBP7
ENSG00000130939.20	chr1	10032832	10181239	+	148408	UBE4B
ENSG00000224340.1	chr1	10054445	10054781	-	337	RP11-496H15.2
ENSG00000233623.2	chr1	10058671	10059648	+	978	PGAM1P11
ENSG00000201746.1	chr1	10163268	10163374	+	107	RNU6-828P
ENSG00000054523.19	chr1	10210570	10381603	+	171034	KIF1B
ENSG00000264881.1	chr1	10227718	10227803	+	86	ENSG00000264881
ENSG00000199562.1	chr1	10298966	10299072	+	107	RNU6-37P
ENSG00000264501.2	chr1	10306465	10306757	+	293	RN7SL731P
ENSG00000284735.1	chr1	10381906	10387150	-	5245	RP4-736L20.4
ENSG00000284642.1	chr1	10395416	10397432	+	2017	RP4-736L20.5
ENSG00000142657.21	chr1	10398592	10420511	+	21920	PGD
ENSG00000271989.1	chr1	10429881	10430677	-	797	RP4-736L20.3
ENSG00000251503.8	chr1	10430102	10452153	+	22052	CENPS-CORT
ENSG00000175279.22	chr1	10430433	10442808	+	12376	CENPS
ENSG00000241563.4	chr1	10450031	10451998	+	1968	CORT
ENSG00000160049.12	chr1	10456522	10472529	-	16008	DFFA
ENSG00000203469.2	chr1	10458555	10459338	+	784	RP5-1113E3.3
ENSG00000142655.13	chr1	10472288	10630758	+	158471	PEX14
ENSG00000287727.1	chr1	10612222	10616452	-	4231	RP4-734G22.4
ENSG00000243267.3	chr1	10616836	10617115	+	280	RN7SL614P
ENSG00000130940.15	chr1	10636604	10796650	-	160047	CASZ1
ENSG00000272078.1	chr1	10639241	10654333	+	15093	RP4-734G22.3
ENSG00000225158.2	chr1	10895761	10895998	+	238	HSPE1P24
ENSG00000175262.14	chr1	10946471	10982037	-	35567	C1orf127
ENSG00000215785.2	chr1	10990978	10991797	-	820	CFL1P6
ENSG00000120948.19	chr1	11012344	11030528	+	18185	TARDBP
ENSG00000009724.17	chr1	11026523	11047239	-	20717	MASP2
ENSG00000116649.10	chr1	11054584	11060020	-	5437	SRM
ENSG00000171824.14	chr1	11066618	11099869	-	33252	EXOSC10
ENSG00000226849.1	chr1	11068471	11073097	+	4627	RP4-635E18.7
ENSG00000230337.1	chr1	11099675	11102100	+	2426	EXOSC10-AS1
ENSG00000198793.13	chr1	11106535	11262551	-	156017	MTOR
ENSG00000225602.5	chr1	11143898	11149537	+	5640	MTOR-AS1
ENSG00000253086.1	chr1	11152350	11152452	+	103	RNU6-537P
ENSG00000171819.5	chr1	11189355	11195981	+	6627	ANGPTL7
ENSG00000207451.1	chr1	11226254	11226360	+	107	RNU6-291P
ENSG00000238173.1	chr1	11232963	11233112	+	150	RPL39P6
ENSG00000120942.14	chr1	11273198	11296049	+	22852	UBIAD1
ENSG00000238199.1	chr1	11278616	11279351	-	736	UBE2V2P3
ENSG00000284646.1	chr1	11311734	11319093	-	7360	RP4-796F18.3
ENSG00000224338.2	chr1	11425257	11425821	-	565	MTCYBP45
ENSG00000204624.8	chr1	11479155	11537551	+	58397	DISP3
ENSG00000285833.1	chr1	11500803	11502016	-	1214	RP11-149P14.2
ENSG00000235643.2	chr1	11609468	11613358	+	3891	LINC01647
ENSG00000284708.1	chr1	11623558	11643416	+	19859	RP3-330O12.5
ENSG00000116661.11	chr1	11637018	11655785	-	18768	FBXO2
ENSG00000132879.14	chr1	11654375	11663327	+	8953	FBXO44
ENSG00000116663.11	chr1	11664200	11674354	+	10155	FBXO6
