Geneid	Length	gene_name
ENSMUSG00000042501.12	6840	Cpa6
ENSMUSG00000103810.1	2745	Gm38005
ENSMUSG00000083422.1	1456	Gm15604
ENSMUSG00000094979.1	107	Gm25253
ENSMUSG00000081417.1	492	Gm15603
ENSMUSG00000103448.1	1922	Gm37133
ENSMUSG00000100212.1	1242	Gm5522
ENSMUSG00000100648.1	759	Gm28659
ENSMUSG00000088585.1	91	Gm22963
ENSMUSG00000048960.13	16609	Prex2
ENSMUSG00000077318.1	128	Gm24173
ENSMUSG00000101827.1	609	Gm28686
ENSMUSG00000103494.1	3039	Gm37410
ENSMUSG00000057715.13	9183	A830018L16Rik
ENSMUSG00000103825.1	2471	Gm38178
ENSMUSG00000099845.1	262	Gm29273
ENSMUSG00000103561.1	2144	Gm38069
ENSMUSG00000101610.1	873	Gm7560
ENSMUSG00000093864.1	107	Gm22633
ENSMUSG00000098555.1	121	Mir6341
ENSMUSG00000097628.1	807	Gm2383
ENSMUSG00000098163.1	687	Gm6216
ENSMUSG00000097171.1	3200	Gm17644
ENSMUSG00000101314.1	853	Gm29663
ENSMUSG00000016918.15	11294	Sulf1
ENSMUSG00000025938.16	13137	Slco5a1
ENSMUSG00000104518.1	551	Gm37162
ENSMUSG00000069620.6	321	Gm5250
ENSMUSG00000099498.1	288	Gm29283
ENSMUSG00000042414.7	2564	Prdm14
ENSMUSG00000005886.14	15642	Ncoa2
ENSMUSG00000103506.1	2253	Gm38376
ENSMUSG00000103495.1	1626	Gm37409
ENSMUSG00000099183.1	82	Gm27881
ENSMUSG00000102639.1	695	Gm38223
ENSMUSG00000104170.1	1872	Gm37702
ENSMUSG00000087782.1	112	Gm23169
ENSMUSG00000103085.1	4642	Gm38120
ENSMUSG00000102664.1	2248	Gm38380
ENSMUSG00000101476.1	681	Gm29570
ENSMUSG00000101171.1	644	Gm7593
ENSMUSG00000025935.10	3162	Tram1
ENSMUSG00000025937.6	4566	Lactb2
ENSMUSG00000102982.1	1266	Gm38319
ENSMUSG00000067813.3	1926	Xkr9
ENSMUSG00000077368.1	131	Gm26273
ENSMUSG00000097711.1	997	Gm5523
ENSMUSG00000102166.1	2249	Gm36947
ENSMUSG00000089358.1	308	Gm25491
ENSMUSG00000104209.1	3605	Gm37400
ENSMUSG00000025932.14	7808	Eya1
ENSMUSG00000095853.1	100	Gm22616
ENSMUSG00000102588.1	439	Gm37444
ENSMUSG00000054493.2	3566	Gm9947
ENSMUSG00000025930.6	2546	Msc
ENSMUSG00000103492.1	4321	Gm37412
ENSMUSG00000081201.1	288	Smt3h2-ps4
ENSMUSG00000082193.1	894	Rpl5-ps1
ENSMUSG00000032769.5	4263	Trpa1
ENSMUSG00000088159.1	120	Gm26345
ENSMUSG00000073737.3	996	Gm10566
ENSMUSG00000092083.4	15165	Kcnb2
ENSMUSG00000102937.1	1533	Gm38116
ENSMUSG00000104149.1	2089	Gm37138
ENSMUSG00000088829.1	112	Gm25227
ENSMUSG00000077377.1	132	Gm25168
ENSMUSG00000101652.1	251	Gm6060
ENSMUSG00000100814.1	100	Gm28669
ENSMUSG00000025925.14	4608	Terf1
ENSMUSG00000104379.1	3169	Gm37509
ENSMUSG00000032719.4	2748	Sbspon
ENSMUSG00000088943.1	303	Gm23259
ENSMUSG00000100652.1	553	Gm7634
ENSMUSG00000067795.13	2063	4930444P10Rik
ENSMUSG00000043716.13	2687	Rpl7
ENSMUSG00000025921.7	4160	Rdh10
ENSMUSG00000104165.1	2321	Gm38249
ENSMUSG00000100868.1	1515	Gm28095
ENSMUSG00000025920.19	6747	Stau2
ENSMUSG00000089982.7	1003	Gm7568
ENSMUSG00000025939.19	4930	Ube2w
ENSMUSG00000102457.1	2980	Gm38342
ENSMUSG00000079658.9	3026	Eloc
ENSMUSG00000097744.1	2788	D030040B21Rik
ENSMUSG00000100959.1	683	Gm7654
ENSMUSG00000025940.6	1820	Tmem70
ENSMUSG00000025779.10	1021	Ly96
ENSMUSG00000100093.1	419	Gm29649
ENSMUSG00000091020.3	1860	Gm5828
ENSMUSG00000101640.1	176	Gm28376
ENSMUSG00000104133.1	827	4921511E07Rik
ENSMUSG00000042686.5	4998	Jph1
ENSMUSG00000100110.1	359	Gm28783
ENSMUSG00000025777.8	7731	Gdap1
ENSMUSG00000099899.1	1011	Gm28784
ENSMUSG00000100272.1	379	Gm28785
ENSMUSG00000100398.1	472	Gm5251
ENSMUSG00000101589.1	2870	Rbm6-ps1
ENSMUSG00000102048.1	486	Gm6075
ENSMUSG00000089534.1	111	Gm25166
ENSMUSG00000067780.3	6923	Pi15
ENSMUSG00000100053.1	4218	Gm28154
ENSMUSG00000085125.7	8345	Gm16070
ENSMUSG00000025776.13	4515	Crispld1
ENSMUSG00000099895.1	629	Gm28153
ENSMUSG00000100554.1	1399	Gm7690
ENSMUSG00000099473.1	586	Gm18775
ENSMUSG00000099591.1	2557	Gm17969
ENSMUSG00000109887.1	2570	Gm28756
ENSMUSG00000102001.1	199	Gm28755
ENSMUSG00000101717.2	142	Gm45784
ENSMUSG00000025774.14	2737	Crisp4
ENSMUSG00000070977.4	219	Defb44-ps
ENSMUSG00000073735.1	258	Defb18
ENSMUSG00000067773.6	610	Defb41
ENSMUSG00000101685.1	985	Gm17837
ENSMUSG00000101306.1	909	Gm5252
ENSMUSG00000088800.1	72	Gm24075
ENSMUSG00000101644.1	112	Gm28343
ENSMUSG00000099433.1	279	Gm28344
ENSMUSG00000089787.2	918	Gm15825
ENSMUSG00000042596.7	1954	Tfap2d
ENSMUSG00000100720.1	545	Gm10075
ENSMUSG00000025927.13	6338	Tfap2b
ENSMUSG00000100538.1	202	Gm28340
ENSMUSG00000101117.1	472	Gm28341
ENSMUSG00000100204.1	2246	Gm4849
ENSMUSG00000084668.1	65	Gm24633
ENSMUSG00000102597.1	2499	Gm38382
ENSMUSG00000043760.16	14310	Pkhd1
ENSMUSG00000104095.1	3479	Gm37315
ENSMUSG00000089914.2	788	4930486I03Rik
ENSMUSG00000090142.2	553	Gm15795
ENSMUSG00000070175.1	102	Gm24162
ENSMUSG00000099906.2	5551	Gm28653
ENSMUSG00000065559.1	73	Mir206
ENSMUSG00000065480.1	119	Mir133b
ENSMUSG00000025929.4	1171	Il17a
ENSMUSG00000041872.9	2022	Il17f
ENSMUSG00000041859.10	3752	Mcm3
ENSMUSG00000099714.1	1186	Gm20587
ENSMUSG00000102121.1	833	Gm28065
ENSMUSG00000088858.1	132	Gm24723
ENSMUSG00000097934.1	1120	6720483E21Rik
ENSMUSG00000025931.15	5488	Paqr8
ENSMUSG00000077314.1	131	Gm24171
ENSMUSG00000100929.1	858	Gm28064
ENSMUSG00000041809.5	2208	Efhc1
ENSMUSG00000041779.5	6661	Tram2
ENSMUSG00000099971.1	546	Gm28287
ENSMUSG00000100819.1	571	Gm2693
ENSMUSG00000025933.15	1351	Tmem14a
ENSMUSG00000102633.1	2100	Gm38224
ENSMUSG00000025934.15	4344	Gsta3
ENSMUSG00000099343.1	633	Gm28836
ENSMUSG00000096375.2	366	Gm7094
ENSMUSG00000025936.15	1365	Gm4956
ENSMUSG00000093963.1	439	Gm21909
ENSMUSG00000067750.3	1987	Khdc1a
ENSMUSG00000086194.1	371	Gm16329
ENSMUSG00000094436.1	228	Gm16327
ENSMUSG00000041722.7	1946	Khdc1c
ENSMUSG00000085507.1	350	Gm2709
ENSMUSG00000094926.1	228	Gm16533
ENSMUSG00000085079.3	2236	Khdc1b
ENSMUSG00000085679.2	196	Gm16328
ENSMUSG00000028033.16	7689	Kcnq5
ENSMUSG00000104138.1	2327	Gm36949
ENSMUSG00000082935.3	1124	Gm7658
ENSMUSG00000103748.1	1567	Gm38243
ENSMUSG00000099692.1	552	Gm5696
ENSMUSG00000100418.1	447	Gm28239
ENSMUSG00000041670.17	7821	Rims1
ENSMUSG00000097642.1	802	Gm26866
ENSMUSG00000101468.1	921	Gm7761
ENSMUSG00000101227.1	2078	Gm29506
ENSMUSG00000073730.2	1781	Ppp1r14bl
ENSMUSG00000089553.1	121	Gm24176
ENSMUSG00000102766.1	723	Gm6420
ENSMUSG00000065405.3	71	Mir30a
ENSMUSG00000097970.1	399	Gm27028
ENSMUSG00000065567.1	84	Mir30c-2
ENSMUSG00000100775.1	347	Gm29107
ENSMUSG00000101226.1	644	Gm20954
ENSMUSG00000026158.11	8109	Ogfrl1
ENSMUSG00000097920.1	989	Gm7784
ENSMUSG00000099503.1	778	Gm28822
ENSMUSG00000026156.8	6203	B3gat2
ENSMUSG00000026155.13	3575	Smap1
ENSMUSG00000026154.4	874	Sdhaf4
ENSMUSG00000102495.1	390	Gm26524
ENSMUSG00000026153.15	7773	Fam135a
ENSMUSG00000102398.1	2800	Gm37580
ENSMUSG00000097670.1	867	Gm26607
ENSMUSG00000026147.16	5068	Col9a1
ENSMUSG00000026141.13	6887	Col19a1
ENSMUSG00000077463.1	137	Gm26418
ENSMUSG00000099997.1	1337	Tubb4b-ps2
ENSMUSG00000100131.1	876	Gm28439
ENSMUSG00000067736.2	294	Gm10222
ENSMUSG00000101939.1	345	Gm28438
ENSMUSG00000101111.1	783	Gm28437
ENSMUSG00000100862.1	678	Gm10925
ENSMUSG00000102070.1	681	Gm28661
ENSMUSG00000101249.1	492	Gm29216
ENSMUSG00000073725.8	5960	Lmbrd1
ENSMUSG00000100808.1	661	Gm28594
ENSMUSG00000100483.1	1216	Gm28237
ENSMUSG00000100450.1	816	Gm9443
ENSMUSG00000099392.1	448	Gm29414
ENSMUSG00000033569.17	18559	Adgrb3
ENSMUSG00000080849.1	444	Gm15702
ENSMUSG00000104257.1	1551	Gm20172
ENSMUSG00000096866.1	107	Gm22260
ENSMUSG00000102296.1	1031	Gm37543
ENSMUSG00000103209.1	3375	Gm37331
ENSMUSG00000104027.1	3433	Gm37211
ENSMUSG00000102407.1	2533	Gm37862
ENSMUSG00000103214.1	3105	Gm38286
ENSMUSG00000104100.1	3257	Gm37880
ENSMUSG00000084740.1	104	Gm25294
ENSMUSG00000103889.1	2935	Gm37011
ENSMUSG00000101301.1	570	Gm29214
ENSMUSG00000104221.1	2943	Gm37051
ENSMUSG00000102250.1	3995	Gm38260
ENSMUSG00000102317.1	5440	Gm37628
ENSMUSG00000103563.1	2741	8030445P17Rik
ENSMUSG00000102465.1	3581	Gm38198
ENSMUSG00000102659.1	3691	Gm37077
ENSMUSG00000103924.1	4550	Gm37895
ENSMUSG00000104132.1	3625	Gm36952
ENSMUSG00000102747.1	3310	Gm37602
ENSMUSG00000102386.1	1017	2900022M07Rik
ENSMUSG00000103004.1	330	2900002M20Rik
ENSMUSG00000104516.1	1222	Gm9884
ENSMUSG00000101618.1	556	Gm18443
ENSMUSG00000099458.1	651	Gm19123
ENSMUSG00000088111.1	106	Gm24064
ENSMUSG00000073722.3	4318	4931408C20Rik
ENSMUSG00000095256.1	119	n-R5s209
ENSMUSG00000100310.1	417	Gm19641
ENSMUSG00000101514.1	2002	Gm5524
ENSMUSG00000101033.1	654	Gm18776
ENSMUSG00000101372.1	1873	Gm19028
ENSMUSG00000103241.1	1514	Gm38089
ENSMUSG00000086240.4	274	Gm7846
ENSMUSG00000048411.4	2887	Gm597
ENSMUSG00000081557.2	2482	Gm5697
ENSMUSG00000058590.2	304	Gm6462
ENSMUSG00000101235.1	550	Gm18033
ENSMUSG00000064433.1	112	Gm25586
ENSMUSG00000080625.1	100	Gm22679
ENSMUSG00000080391.1	96	Gm23785
ENSMUSG00000099257.1	125	Mir6342
ENSMUSG00000099492.1	1312	Gm5525
ENSMUSG00000118548.1	1285	AC125120.1
ENSMUSG00000101726.1	622	Gm7858
ENSMUSG00000096829.1	110	Gm23771
ENSMUSG00000098883.1	107	Gm27430
ENSMUSG00000053185.2	1161	Gm9898
ENSMUSG00000100261.1	1210	Gm6473
ENSMUSG00000101180.1	328	Gm2914
ENSMUSG00000048874.15	14190	Phf3
ENSMUSG00000103783.1	2884	Gm37522
ENSMUSG00000104315.1	3035	Gm37906
ENSMUSG00000026064.16	5541	Ptp4a1
ENSMUSG00000117310.2	4145	Ptp4a1
ENSMUSG00000117091.1	726	Gm5698
ENSMUSG00000086726.3	729	Gm9458
ENSMUSG00000086727.8	3751	4931428L18Rik
ENSMUSG00000100237.1	585	Gm28644
ENSMUSG00000098529.1	138	Gm27362
ENSMUSG00000100910.1	2858	Gm29128
ENSMUSG00000099796.1	225	Gm7893
ENSMUSG00000050217.13	1937	Lgsn
ENSMUSG00000026063.4	1451	Pih1d3
ENSMUSG00000077664.1	127	Gm26145
ENSMUSG00000100205.1	559	Gm4850
ENSMUSG00000100592.1	564	Gm28645
ENSMUSG00000094215.2	696	Gm6489
ENSMUSG00000101093.1	1337	Eef1a1-ps2
ENSMUSG00000070960.4	1513	Gm19680
ENSMUSG00000088620.1	107	Gm23032
ENSMUSG00000082159.2	835	Gm7910
ENSMUSG00000026058.11	10291	Khdrbs2
ENSMUSG00000064688.1	107	Gm25814
ENSMUSG00000103482.1	1809	Gm37999
ENSMUSG00000104498.1	1628	Gm37110
ENSMUSG00000104313.1	1545	Gm37911
ENSMUSG00000102865.1	1437	Gm9839
ENSMUSG00000102321.1	3413	Gm37792
ENSMUSG00000091318.2	3609	Gm5415
ENSMUSG00000089489.1	63	Gm24732
ENSMUSG00000104433.1	2470	Gm37426
ENSMUSG00000089395.1	292	Gm23024
ENSMUSG00000102926.1	5007	Gm37151
ENSMUSG00000100497.1	2131	Gm28624
ENSMUSG00000102917.1	1221	Gm37724
ENSMUSG00000100481.1	1789	Gm7114
ENSMUSG00000100590.1	751	Gm4785
ENSMUSG00000088750.1	110	Gm24901
ENSMUSG00000104230.1	650	Gm37591
ENSMUSG00000101754.2	1693	Gm2987
ENSMUSG00000065223.1	100	Gm25792
ENSMUSG00000100318.2	913	Gm18799
ENSMUSG00000101612.2	2255	Gm7933
ENSMUSG00000065260.1	106	Gm23453
ENSMUSG00000026134.11	5938	Prim2
ENSMUSG00000101682.1	418	Gm29228
ENSMUSG00000102714.1	3075	Gm37618
ENSMUSG00000102093.1	328	Gm17813
ENSMUSG00000103746.1	889	1700001G17Rik
ENSMUSG00000102198.1	2314	Gm38173
ENSMUSG00000004768.14	8285	Rab23
ENSMUSG00000042215.8	3059	Bag2
ENSMUSG00000103072.1	341	Gm37905
ENSMUSG00000042197.13	15839	Zfp451
ENSMUSG00000081402.4	2557	Gm15455
ENSMUSG00000042182.16	3421	Bend6
ENSMUSG00000104416.1	1628	Gm37067
ENSMUSG00000026131.20	41619	Dst
ENSMUSG00000103596.1	2384	Gm37354
ENSMUSG00000099382.1	334	Gm28631
ENSMUSG00000084506.1	93	Gm23792
ENSMUSG00000103364.1	1698	Gm38157
ENSMUSG00000105982.1	73	Mir6896
ENSMUSG00000096992.3	4782	Gm26788
ENSMUSG00000103001.1	1247	A930005N03Rik
ENSMUSG00000104397.1	430	Gm37958
ENSMUSG00000102839.1	387	Gm37385
ENSMUSG00000101206.1	1162	Gm5266
ENSMUSG00000101462.2	2937	Gm3052
ENSMUSG00000102336.1	6263	Gm37233
ENSMUSG00000092852.1	79	Mir5103
ENSMUSG00000042111.9	2543	Ccdc115
ENSMUSG00000101711.1	529	Gm28306
ENSMUSG00000026127.13	8553	Imp4
ENSMUSG00000026126.15	6492	Ptpn18
ENSMUSG00000100280.2	2409	Gm28417
ENSMUSG00000101223.6	1298	4930568A12Rik
ENSMUSG00000026125.9	1333	Prss39
ENSMUSG00000101116.1	292	Gm28416
ENSMUSG00000026124.4	1040	Cfc1
ENSMUSG00000101803.1	475	Gm28419
ENSMUSG00000037529.13	2105	Prss40
ENSMUSG00000045815.4	510	1700101I19Rik
ENSMUSG00000045174.10	4392	Amer3
ENSMUSG00000100524.1	423	Gm28418
ENSMUSG00000102499.1	235	Gm36984
ENSMUSG00000103521.1	1396	Gm29730
ENSMUSG00000104098.1	646	AA619741
ENSMUSG00000037509.21	9861	Arhgef4
ENSMUSG00000102537.1	148	Gm37224
ENSMUSG00000102612.1	355	Gm37845
ENSMUSG00000118272.1	171	Arhgef4
ENSMUSG00000104002.2	2549	Gm38336
ENSMUSG00000037503.12	5219	Fam168b
ENSMUSG00000104358.1	3036	Gm37127
ENSMUSG00000026123.11	7987	Plekhb2
ENSMUSG00000103716.1	2137	Gm19430
ENSMUSG00000103548.1	229	Gm37670
ENSMUSG00000103760.1	436	Gm8009
ENSMUSG00000103997.1	235	Gm38027
ENSMUSG00000077231.1	129	Gm25096
ENSMUSG00000104417.1	640	Gm37068
ENSMUSG00000064601.1	105	Gm25634
ENSMUSG00000101714.1	452	Gm28415
ENSMUSG00000102531.1	566	1110002O04Rik
ENSMUSG00000103096.1	904	Gm8022
ENSMUSG00000102279.1	463	Gm37146
ENSMUSG00000103708.1	761	Gm33222
ENSMUSG00000104201.1	425	4930535G08Rik
ENSMUSG00000102434.1	1372	Gm38049
ENSMUSG00000045216.7	5542	Hs6st1
ENSMUSG00000104523.1	447	Gm37335
ENSMUSG00000102202.1	4340	Gm33280
ENSMUSG00000037470.14	12853	Uggt1
ENSMUSG00000098752.1	62	Mir6897
ENSMUSG00000047180.8	3217	Neurl3
ENSMUSG00000037447.16	12540	Arid5a
ENSMUSG00000102762.1	713	4930403P22Rik
ENSMUSG00000010453.12	6742	Kansl3
ENSMUSG00000098680.1	77	Mir6898
ENSMUSG00000037432.15	6356	Fer1l5
ENSMUSG00000001143.13	7359	Lman2l
ENSMUSG00000037408.10	4829	Cnnm4
ENSMUSG00000104316.1	2159	Gm37909
ENSMUSG00000106081.1	141	Gm47280
ENSMUSG00000001138.13	6420	Cnnm3
ENSMUSG00000102845.1	269	Gm38033
ENSMUSG00000067653.12	2697	Ankrd23
ENSMUSG00000109510.1	2327	Gm42417
ENSMUSG00000079610.9	4654	Ankrd39
ENSMUSG00000026121.13	4593	Sema4c
ENSMUSG00000087589.3	2830	D430040D24Rik
ENSMUSG00000046337.17	3190	Fam178b
ENSMUSG00000089906.1	345	Gm6428
ENSMUSG00000077939.1	75	Gm24133
ENSMUSG00000061518.11	1587	Cox5b
ENSMUSG00000037351.9	4274	Actr1b
ENSMUSG00000102416.4	1744	4933424G06Rik
ENSMUSG00000104237.1	1633	Gm33533
ENSMUSG00000026117.10	2992	Zap70
ENSMUSG00000097291.1	1012	Gm18828
ENSMUSG00000026116.11	9413	Tmem131
ENSMUSG00000103016.1	143	Gm37506
ENSMUSG00000102930.1	2413	Gm38115
ENSMUSG00000103159.1	3552	F830112A20Rik
ENSMUSG00000080054.3	498	Rpl12-ps1
ENSMUSG00000095944.1	119	n-R5s210
ENSMUSG00000050122.19	5964	Vwa3b
ENSMUSG00000103603.1	992	Gm37020
ENSMUSG00000026114.14	3957	Cnga3
ENSMUSG00000102231.1	346	1700074A21Rik
ENSMUSG00000026113.17	10387	Inpp4a
ENSMUSG00000086064.1	861	4930439A04Rik
ENSMUSG00000102879.1	534	Gm37135
ENSMUSG00000026112.7	5220	Coa5
ENSMUSG00000026111.15	1579	Unc50
ENSMUSG00000026110.15	12881	Mgat4a
ENSMUSG00000103948.1	2755	4930594C11Rik
ENSMUSG00000087233.1	1790	Gm43213
ENSMUSG00000026090.16	5075	2010300C02Rik
ENSMUSG00000089767.1	560	4930556I23Rik
ENSMUSG00000104365.1	1926	4930470B04Rik
ENSMUSG00000102650.1	2218	Gm19863
ENSMUSG00000060771.15	10662	Tsga10
ENSMUSG00000097268.1	3089	Gm26805
ENSMUSG00000037216.5	2051	Lipt1
ENSMUSG00000026088.15	2770	Mitd1
ENSMUSG00000026087.11	3226	Mrpl30
ENSMUSG00000061584.6	2564	Lyg2
ENSMUSG00000087374.1	3990	Gm15457
ENSMUSG00000026085.11	888	Lyg1
ENSMUSG00000089141.1	237	Gm23409
ENSMUSG00000058407.12	9102	Txndc9
ENSMUSG00000026083.12	9753	Eif5b
ENSMUSG00000026082.11	6168	Rev1
ENSMUSG00000103804.1	701	Gm37062
ENSMUSG00000102716.1	1848	Gm5099
ENSMUSG00000037138.18	6654	Aff3
ENSMUSG00000085391.1	912	Gm16150
ENSMUSG00000085280.1	639	Gm16151
ENSMUSG00000087131.7	1853	Gm16152
ENSMUSG00000102984.1	529	Gm34727
ENSMUSG00000102541.1	502	Gm38135
ENSMUSG00000103531.1	503	2610300A13Rik
ENSMUSG00000048814.11	7506	Lonrf2
ENSMUSG00000026080.13	11964	Chst10
ENSMUSG00000103647.1	325	Gm37707
ENSMUSG00000102447.1	772	Gm6621
ENSMUSG00000067604.8	1001	Nms
ENSMUSG00000026078.10	4219	Pdcl3
ENSMUSG00000103046.1	1639	Gm37309
ENSMUSG00000104188.1	1843	Gm37821
ENSMUSG00000103182.1	2087	Gm37091
ENSMUSG00000098833.1	97	Mir6349
ENSMUSG00000026077.15	4791	Npas2
ENSMUSG00000092553.1	283	Gm20428
ENSMUSG00000092563.1	555	Gm3617
ENSMUSG00000073702.11	1662	Rpl31
ENSMUSG00000003134.10	5239	Tbc1d8
ENSMUSG00000102607.1	885	Gm37265
ENSMUSG00000065629.2	215	Gm24826
ENSMUSG00000104827.1	216	Gm24826
ENSMUSG00000003135.15	3508	Cnot11
ENSMUSG00000085894.1	1832	Gm15832
ENSMUSG00000077704.1	110	Snord89
ENSMUSG00000048234.13	2838	Rnf149
ENSMUSG00000064936.1	130	Gm23722
ENSMUSG00000102471.1	589	Gm5100
ENSMUSG00000050967.5	6091	Creg2
ENSMUSG00000097083.1	3663	D930019O06Rik
ENSMUSG00000057173.8	2139	Rfx8
ENSMUSG00000091937.3	352	Gm3646
ENSMUSG00000101634.6	1068	1700066B17Rik
ENSMUSG00000026074.15	9579	Map4k4
ENSMUSG00000102985.1	1330	4930456G14Rik
ENSMUSG00000026073.13	1908	Il1r2
ENSMUSG00000097899.2	842	Gm16894
ENSMUSG00000102975.1	3071	Gm37347
ENSMUSG00000026072.12	6363	Il1r1
ENSMUSG00000103560.1	6480	Gm38070
ENSMUSG00000070942.8	6812	Il1rl2
ENSMUSG00000103230.1	685	Gm17970
